序号,幢号,楼层,房号,建筑面积,集团底单价,集团底总价
1.0,1#楼,3.0,1#-301,143.03,17833.0,2550637
2.0,1#楼,9.0,1#-901,143.03,22793.0,3260053
3.0,1#楼,18.0,1#-1802,118.18,17736.0,2096032
4.0,1#楼,18.0,1#-1807,143.03,18541.0,2651917
5.0,1#楼,23.0,1#-2307,143.03,18541.0,2651917
6.0,1#楼,24.0,1#-23A02,106.66,17693.0,1887177
7.0,1#楼,24.0,1#-23A06,106.66,17693.0,1887177
8.0,2#楼,2.0,2#-202,154.22,18135.0,2796794
9.0,2#楼,2.0,2#-203,154.22,18135.0,2796794
10.0,2#楼,2.0,2#-205,154.22,18508.0,2854327
11.0,2#楼,3.0,2#-305,154.22,18508.0,2854327
12.0,3#楼,1.0,3#-101,143.99,16424.0,2364928
13.0,3#楼,1.0,3#-102,119.51,16499.0,1971779
14.0,3#楼,1.0,3#-103,119.51,16499.0,1971779
15.0,3#楼,1.0,3#-105,143.99,16723.0,2407901
16.0,3#楼,2.0,3#-201,143.99,17916.0,2579794
17.0,3#楼,2.0,3#-202,119.51,17618.0,2105532
18.0,3#楼,2.0,3#-203,119.51,17618.0,2105532
19.0,3#楼,2.0,3#-205,143.99,18215.0,2622767
20.0,3#楼,3.0,3#-301,143.99,17916.0,2579794
21.0,3#楼,3.0,3#-302,119.51,17618.0,2105532
22.0,3#楼,3.0,3#-303,119.51,17618.0,2105532
23.0,3#楼,4.0,3#-3A01,143.99,17916.0,2579794
24.0,3#楼,4.0,3#-3A02,119.51,17618.0,2105532
25.0,3#楼,4.0,3#-3A03,119.51,17618.0,2105532
26.0,3#楼,5.0,3#-501,143.99,18066.0,2601280
27.0,3#楼,5.0,3#-502,119.51,17767.0,2123365
28.0,3#楼,5.0,3#-505,143.99,18364.0,2644254
29.0,3#楼,6.0,3#-601,143.99,18088.0,2604504
30.0,3#楼,6.0,3#-605,143.99,18387.0,2647477
31.0,3#楼,7.0,3#-705,143.99,18409.0,2650700
32.0,3#楼,8.0,3#-801,143.99,18133.0,2610950
33.0,3#楼,8.0,3#-802,119.51,17834.0,2131391
34.0,3#楼,8.0,3#-805,143.99,18431.0,2653924
35.0,3#楼,9.0,3#-901,143.99,18155.0,2614174
36.0,3#楼,9.0,3#-905,143.99,18454.0,2657146
37.0,3#楼,11.0,3#-1101,143.99,18200.0,2620618
38.0,3#楼,11.0,3#-1105,143.99,18498.0,2663592
39.0,3#楼,12.0,3#-1201,143.99,18222.0,2623842
40.0,3#楼,12.0,3#-1205,143.99,18521.0,2666815
41.0,3#楼,13.0,3#-1301,143.99,18245.0,2627064
42.0,3#楼,13.0,3#-1302,119.51,17946.0,2144766
43.0,3#楼,13.0,3#-1305,143.99,18543.0,2670038
44.0,3#楼,14.0,3#-13A01,143.99,18267.0,2630288
45.0,3#楼,14.0,3#-13A02,119.51,17969.0,2147440
46.0,3#楼,14.0,3#-13A03,119.51,17969.0,2147440
47.0,3#楼,14.0,3#-13A05,143.99,18566.0,2673261
48.0,3#楼,15.0,3#-1501,143.99,18290.0,2633511
49.0,3#楼,15.0,3#-1505,143.99,18588.0,2676485
50.0,3#楼,16.0,3#-1603,119.51,18013.0,2152791
51.0,3#楼,16.0,3#-1605,143.99,18610.0,2679708
52.0,3#楼,17.0,3#-1703,119.51,18051.0,2157249
53.0,3#楼,17.0,3#-1705,143.99,18648.0,2685078
54.0,3#楼,18.0,3#-1801,143.99,18349.0,2642105
55.0,3#楼,18.0,3#-1802,119.51,18051.0,2157249
56.0,3#楼,18.0,3#-1803,119.51,18051.0,2157249
57.0,3#楼,18.0,3#-1805,143.99,18648.0,2685078
58.0,3#楼,19.0,3#-1903,119.51,18051.0,2157249
59.0,3#楼,19.0,3#-1905,143.99,18648.0,2685078
60.0,3#楼,20.0,3#-2001,143.99,18349.0,2642105
61.0,3#楼,20.0,3#-2003,119.51,18051.0,2157249
62.0,3#楼,21.0,3#-2101,143.99,18349.0,2642105
63.0,3#楼,21.0,3#-2103,119.51,18051.0,2157249
64.0,3#楼,21.0,3#-2105,143.99,18648.0,2685078
65.0,3#楼,22.0,3#-2201,143.99,18349.0,2642105
66.0,3#楼,22.0,3#-2203,119.51,18051.0,2157249
67.0,3#楼,23.0,3#-2301,143.99,18349.0,2642105
68.0,3#楼,23.0,3#-2303,119.51,18051.0,2157249
69.0,3#楼,23.0,3#-2305,143.99,18648.0,2685078
70.0,3#楼,24.0,3#-23A01,143.99,18349.0,2642105
71.0,3#楼,24.0,3#-23A02,119.51,18051.0,2157249
72.0,3#楼,24.0,3#-23A03,119.51,18051.0,2157249
73.0,3#楼,24.0,3#-23A05,143.99,18648.0,2685078
74.0,3#楼,25.0,3#-2501,143.99,18349.0,2642105
75.0,3#楼,25.0,3#-2502,119.51,18051.0,2157249
76.0,3#楼,25.0,3#-2503,119.51,18051.0,2157249
77.0,3#楼,25.0,3#-2505,143.99,18648.0,2685078
